bib,position,gender,run_category,shoe_brand,confidence
15748,?,FEMININO,21K,Olympikus,8.66
11509,?,FEMININO,21K,Olympikus,18.50
13238,?,FEMININO,21K,Nike,1.54
9689,?,FEMININO,21K,Adidas,8.45
10322,?,FEMININO,21K,Adidas,9.82
17409,?,FEMININO,21K,Adidas,25.64
15654,?,FEMININO,21K,Olympikus,2.38
9015,?,FEMININO,21K,Nike,2.90
12062,?,FEMININO,21K,Adidas,20.44
15810,?,FEMININO,21K,Adidas,7.13
15496,?,FEMININO,21K,Nike,51.88
15453,?,FEMININO,21K,Nike,28.51
15785,?,FEMININO,21K,Nike,4.26
14619,?,FEMININO,21K,Adidas,8.35
11485,?,FEMININO,21K,Nike,2.58
9920,?,FEMININO,21K,Nike,0.98
10923,?,FEMININO,21K,Olympikus,28.37
12836,?,FEMININO,21K,Olympikus,11.58
14631,?,FEMININO,21K,Adidas,29.10
10359,?,FEMININO,21K,Nike,33.79
16758,?,FEMININO,21K,Adidas,5.39
16102,?,FEMININO,21K,Adidas,1.12
11297,?,FEMININO,21K,Adidas,7.20
14022,?,FEMININO,21K,Olympikus,1.20
15055,?,FEMININO,21K,Nike,3.17
16413,?,FEMININO,21K,Nike,5.61
11760,?,FEMININO,21K,Nike,14.45
16922,?,FEMININO,21K,Adidas,4.20
17858,?,FEMININO,21K,Nike,3.63
11721,?,FEMININO,21K,Adidas,5.37
8570,?,FEMININO,21K,Nike,44.32
12681,?,FEMININO,21K,Adidas,26.50
12189,?,FEMININO,21K,Adidas,8.89
13328,?,FEMININO,21K,Adidas,1.99
9553,?,FEMININO,21K,Asics,3.91
15805,?,FEMININO,21K,Olympikus,7.53
13246,?,FEMININO,21K,Adidas,1.29
16897,?,FEMININO,21K,Asics,12.58
13172,?,FEMININO,21K,Olympikus,9.09
15573,?,FEMININO,21K,Adidas,13.13
10368,?,FEMININO,21K,Puma,2.74
16497,?,FEMININO,21K,Nike,1.84
11769,?,FEMININO,21K,Adidas,6.65
9847,?,FEMININO,21K,Nike,13.66
9695,?,FEMININO,21K,Nike,1.92
13739,?,FEMININO,21K,Fila,12.63
9674,?,FEMININO,21K,Nike,8.62
12133,?,FEMININO,21K,Nike,2.49
11878,?,FEMININO,21K,Nike,2.74
12382,?,FEMININO,21K,Olympikus,6.40
13419,?,FEMININO,21K,Adidas,3.97
8324,?,FEMININO,21K,Adidas,11.47
11095,?,FEMININO,21K,Olympikus,3.95
283931,?,FEMININO,21K,Nike,1.09
13182,?,FEMININO,21K,Adidas,26.50
14720,?,FEMININO,21K,Nike,7.67
14305,?,FEMININO,21K,Olympikus,39.70
14072,?,FEMININO,21K,Adidas,15.43
17457,?,FEMININO,21K,Nike,21.01
8428,?,FEMININO,21K,Adidas,13.94
16851,?,FEMININO,21K,Nike,11.14
12869,?,FEMININO,21K,Nike,1.88
16375,?,FEMININO,21K,Olympikus,20.35
8727,?,FEMININO,21K,Olympikus,14.34
11018,?,FEMININO,21K,Nike,22.07
12401,?,FEMININO,21K,Nike,7.72
15623,?,FEMININO,21K,Nike,21.76
12945,?,FEMININO,21K,Asics,12.32
11654,?,FEMININO,21K,Fila,9.49
12335,?,FEMININO,21K,Adidas,9.93
17655,?,FEMININO,21K,Adidas,17.87
9603,?,FEMININO,21K,Mizuno,11.69
14196,?,FEMININO,21K,Nike,9.26
15655,?,FEMININO,21K,Nike,3.84
12176,?,FEMININO,21K,Olympikus,3.26
13030,?,FEMININO,21K,Nike,4.97
9010,?,FEMININO,21K,Olympikus,3.48
12329,?,FEMININO,21K,Olympikus,13.65
10401,?,FEMININO,21K,Nike,1.90
11507,?,FEMININO,21K,Nike,1.71
13041,?,FEMININO,21K,Nike,2.07
16949,?,FEMININO,21K,Fila,25.55
9038,?,FEMININO,21K,Asics,26.22
11307,?,FEMININO,21K,Adidas,26.61
13409,?,FEMININO,21K,Adidas,1.09
9361,?,FEMININO,21K,Nike,4.60
13645,?,FEMININO,21K,Adidas,5.37
10814,?,FEMININO,21K,Adidas,15.18
12136,?,FEMININO,21K,Nike,8.44
10883,?,FEMININO,21K,Adidas,1.26
17587,?,FEMININO,21K,Adidas,5.45
15064,?,FEMININO,21K,Adidas,6.36
10026,?,FEMININO,21K,Adidas,35.53
12343,?,FEMININO,21K,Adidas,4.80
8500,?,FEMININO,21K,Olympikus,10.82
14371,?,FEMININO,21K,Adidas,22.20
10020,?,FEMININO,21K,Nike,30.78
8981,?,FEMININO,21K,Adidas,9.54
15470,?,FEMININO,21K,Nike,2.45
16733,?,FEMININO,21K,Adidas,42.50
9461,?,FEMININO,21K,Adidas,6.78
17120,?,FEMININO,21K,Olympikus,1.76
13600,?,FEMININO,21K,Nike,37.16
8689,?,FEMININO,21K,Adidas,6.03
17508,?,FEMININO,21K,Nike,12.59
17723,?,FEMININO,21K,Olympikus,3.71
16781,?,FEMININO,21K,Nike,13.60
15779,?,FEMININO,21K,Nike,1.76
12737,?,FEMININO,21K,Olympikus,13.14
15837,?,FEMININO,21K,Nike,30.14
12505,?,FEMININO,21K,Nike,14.91
16737,?,FEMININO,21K,Nike,1.78
9086,?,FEMININO,21K,Nike,2.91
15897,?,FEMININO,21K,Adidas,21.31
9914,?,FEMININO,21K,Adidas,13.19
8290,?,FEMININO,21K,Nike,12.22
17063,?,FEMININO,21K,Olympikus,2.33
9261,?,FEMININO,21K,Nike,10.81
8486,?,FEMININO,21K,Nike,10.25
14225,?,FEMININO,21K,Adidas,5.26
17584,?,FEMININO,21K,Olympikus,2.31
9654,?,FEMININO,21K,Fila,1.81
14194,?,FEMININO,21K,New Balance,8.72
13796,?,FEMININO,21K,Nike,48.51
12423,?,FEMININO,21K,Nike,1.93
10860,?,FEMININO,21K,Nike,13.71
11818,?,FEMININO,21K,Nike,1.17
12170,?,FEMININO,21K,Nike,1.70
14627,?,FEMININO,21K,Nike,10.33
17491,?,FEMININO,21K,Adidas,1.83
9182,?,FEMININO,21K,Olympikus,15.94
11413,?,FEMININO,21K,Adidas,10.78
16537,?,FEMININO,21K,Fila,14.21
15687,?,FEMININO,21K,Adidas,47.57
12486,?,FEMININO,21K,Nike,19.73
8966,?,FEMININO,21K,Olympikus,14.31
9960,?,FEMININO,21K,Olympikus,0.99
11828,?,FEMININO,21K,Nike,8.93
15606,?,FEMININO,21K,Adidas,58.68
8512,?,FEMININO,21K,Adidas,1.96
12849,?,FEMININO,21K,On Running,39.86
11695,?,FEMININO,21K,Nike,4.91
14606,?,FEMININO,21K,Olympikus,14.74
12947,?,FEMININO,21K,Nike,12.82
9222,?,FEMININO,21K,Adidas,9.89
14746,?,FEMININO,21K,Adidas,10.96
11844,?,FEMININO,21K,Adidas,2.15
11395,?,FEMININO,21K,Adidas,8.45
16983,?,FEMININO,21K,Adidas,19.67
8274,?,FEMININO,21K,Adidas,9.79
17034,?,FEMININO,21K,Adidas,1.74
11591,?,FEMININO,21K,Olympikus,1.74
12142,?,FEMININO,21K,Adidas,10.43
13269,?,FEMININO,21K,Adidas,9.14
16042,?,FEMININO,21K,Adidas,7.62
10618,?,FEMININO,21K,Mizuno,11.45
17359,?,FEMININO,21K,Adidas,5.80
13236,?,FEMININO,21K,Nike,2.85
15841,?,FEMININO,21K,Adidas,1.97
17404,?,FEMININO,21K,Nike,13.36
14679,?,FEMININO,21K,Nike,13.11
15717,?,FEMININO,21K,Adidas,14.13
9087,?,FEMININO,21K,Adidas,11.96
11422,?,FEMININO,21K,Nike,14.96
12076,?,FEMININO,21K,Olympikus,21.09
8797,?,FEMININO,21K,Adidas,2.00
14824,?,FEMININO,21K,Olympikus,1.99
14638,?,FEMININO,21K,Nike,21.06
16215,?,FEMININO,21K,Adidas,7.86
8469,?,FEMININO,21K,Adidas,13.93
12923,?,FEMININO,21K,Nike,26.29
17518,?,FEMININO,21K,Asics,13.14
13396,?,FEMININO,21K,Nike,2.26
17577,?,FEMININO,21K,Nike,1.95
14474,?,FEMININO,21K,Fila,3.77
17783,?,FEMININO,21K,Adidas,21.91
13524,?,FEMININO,21K,Nike,8.61
13068,?,FEMININO,21K,Nike,2.70
15896,?,FEMININO,21K,Adidas,22.18
11441,?,FEMININO,21K,Nike,10.70
11991,?,FEMININO,21K,Adidas,8.79
14856,?,FEMININO,21K,Nike,7.68
13231,?,FEMININO,21K,Nike,7.87
9258,?,FEMININO,21K,Nike,3.40
11945,?,FEMININO,21K,Adidas,12.25
11169,?,FEMININO,21K,Nike,15.52
11801,?,FEMININO,21K,Mizuno,1.00
15586,?,FEMININO,21K,Fila,12.50
16194,?,FEMININO,21K,Asics,5.45
16387,?,FEMININO,21K,Adidas,0.97
8253,?,FEMININO,21K,Olympikus,11.09
8851,?,FEMININO,21K,Adidas,1.78
12135,?,FEMININO,21K,Adidas,0.98
10956,?,FEMININO,21K,Adidas,14.10
12943,?,FEMININO,21K,Asics,12.66
8425,?,FEMININO,21K,Fila,13.20
15843,?,FEMININO,21K,Olympikus,0.95
15781,?,FEMININO,21K,Olympikus,13.48
11576,?,FEMININO,21K,Nike,3.85
16818,?,FEMININO,21K,Fila,11.73
14562,?,FEMININO,21K,Nike,23.32
15739,?,FEMININO,21K,Nike,6.32
9715,?,FEMININO,21K,Olympikus,19.13
15394,?,FEMININO,21K,Nike,9.02
9237,?,FEMININO,21K,Adidas,23.20
13585,?,FEMININO,21K,New Balance,40.99
15272,?,FEMININO,21K,Adidas,4.91
13250,?,FEMININO,21K,Nike,3.35
16911,?,FEMININO,21K,Nike,16.36
9884,?,FEMININO,21K,Adidas,22.62
9160,?,FEMININO,21K,Adidas,2.73
14770,?,FEMININO,21K,Adidas,27.69
13775,?,FEMININO,21K,Adidas,3.69
15862,?,FEMININO,21K,Adidas,0.98
17520,?,FEMININO,21K,Fila,4.96
15320,?,FEMININO,21K,Adidas,12.69
12227,?,FEMININO,21K,Nike,1.66
16919,?,FEMININO,21K,Nike,26.58
12555,?,FEMININO,21K,Nike,6.86
14628,?,FEMININO,21K,Nike,11.81
8431,?,FEMININO,21K,Adidas,11.16
8786,?,FEMININO,21K,Nike,51.81
11164,?,FEMININO,21K,Nike,5.47
11377,?,FEMININO,21K,Adidas,24.66
9058,?,FEMININO,21K,Adidas,1.99
13730,?,FEMININO,21K,Nike,6.80
12016,?,FEMININO,21K,Nike,7.28
15142,?,FEMININO,21K,Nike,24.05
15978,?,FEMININO,21K,Nike,27.73
11513,?,FEMININO,21K,Olympikus,16.57
11458,?,FEMININO,21K,Olympikus,2.94
8128,?,FEMININO,21K,Olympikus,0.97
11261,?,FEMININO,21K,Nike,7.68
15657,?,FEMININO,21K,Olympikus,14.20
8718,?,FEMININO,21K,Adidas,5.02
13967,?,FEMININO,21K,Adidas,9.83
15017,?,FEMININO,21K,Adidas,5.39
16205,?,FEMININO,21K,Olympikus,6.29
11198,?,FEMININO,21K,Adidas,16.12
8993,?,FEMININO,21K,Nike,33.90
10103,?,FEMININO,21K,Fila,9.25
8952,?,FEMININO,21K,Olympikus,9.53
15582,?,FEMININO,21K,Nike,39.73
15265,?,FEMININO,21K,Nike,3.61
8511,?,FEMININO,21K,Adidas,25.72
9832,?,FEMININO,21K,Olympikus,1.95
9275,?,FEMININO,21K,Adidas,18.28
10813,?,FEMININO,21K,Nike,9.69
16605,?,FEMININO,21K,Nike,1.98
17109,?,FEMININO,21K,Nike,0.99
15497,?,FEMININO,21K,Adidas,2.46
9599,?,FEMININO,21K,Adidas,4.33
9267,?,FEMININO,21K,Nike,13.28
10073,?,FEMININO,21K,Adidas,3.80
9615,?,FEMININO,21K,Adidas,1.95
15808,?,FEMININO,21K,Nike,1.57
8998,?,FEMININO,21K,Adidas,4.96
9796,?,FEMININO,21K,Nike,11.26
11412,?,FEMININO,21K,Adidas,12.40
16677,?,FEMININO,21K,Nike,1.43
10845,?,FEMININO,21K,Nike,9.78
10138,?,FEMININO,21K,Olympikus,1.99
14222,?,FEMININO,21K,Adidas,26.36
13902,?,FEMININO,21K,Nike,14.89
16685,?,FEMININO,21K,Nike,1.35
9502,?,FEMININO,21K,Nike,3.73
11304,?,FEMININO,21K,Olympikus,1.91
12440,?,FEMININO,21K,Adidas,4.44
9699,?,FEMININO,21K,Mizuno,2.85
14958,?,FEMININO,21K,Adidas,0.95
15557,?,FEMININO,21K,Nike,4.34
8932,?,FEMININO,21K,Olympikus,29.93
11521,?,FEMININO,21K,Adidas,7.56
15527,?,FEMININO,21K,Adidas,21.05
15066,?,FEMININO,21K,Adidas,14.46
15357,?,FEMININO,21K,Nike,12.83
14922,?,FEMININO,21K,Adidas,7.69
17845,?,FEMININO,21K,Adidas,17.84
16980,?,FEMININO,21K,Adidas,1.53
17012,?,FEMININO,21K,Nike,22.84
17168,?,FEMININO,21K,Olympikus,25.40
13432,?,FEMININO,21K,Nike,1.11
9763,?,FEMININO,21K,Olympikus,8.15
10012,?,FEMININO,21K,Nike,23.08
8520,?,FEMININO,21K,Adidas,9.96
15641,?,FEMININO,21K,Olympikus,1.98
8541,?,FEMININO,21K,Adidas,10.96
9451,?,FEMININO,21K,Adidas,4.00
9132,?,FEMININO,21K,Asics,1.69
13294,?,FEMININO,21K,Adidas,7.37
16048,?,FEMININO,21K,Adidas,12.01
8307,?,FEMININO,21K,Olympikus,9.45
16792,?,FEMININO,21K,Asics,1.76
13788,?,FEMININO,21K,Nike,16.52
9018,?,FEMININO,21K,Asics,4.98
15554,?,FEMININO,21K,Olympikus,7.12
16958,?,FEMININO,21K,Adidas,2.99
13786,?,FEMININO,21K,New Balance,1.76
10042,?,FEMININO,21K,Nike,12.04
9702,?,FEMININO,21K,Olympikus,2.91
15930,?,FEMININO,21K,Olympikus,2.28
14521,?,FEMININO,21K,Adidas,0.98
10270,?,FEMININO,21K,Nike,1.99
9985,?,FEMININO,21K,Adidas,17.30
13729,?,FEMININO,21K,Olympikus,6.38
15130,?,FEMININO,21K,Nike,19.46
9175,?,FEMININO,21K,Nike,1.42
9931,?,FEMININO,21K,Adidas,12.62
9656,?,FEMININO,21K,Mizuno,12.81
13268,?,FEMININO,21K,Nike,5.69
9301,?,FEMININO,21K,Olympikus,4.40
8982,?,FEMININO,21K,Nike,10.07
11891,?,FEMININO,21K,Nike,2.82
9614,?,FEMININO,21K,Adidas,0.99
13445,?,FEMININO,21K,Adidas,4.95
13133,?,FEMININO,21K,Adidas,3.51
13403,?,FEMININO,21K,Adidas,1.99
14640,?,FEMININO,21K,Nike,25.54
14355,?,FEMININO,21K,Nike,16.82
15543,?,FEMININO,21K,Nike,2.67
9730,?,FEMININO,21K,Olympikus,33.81
9895,?,FEMININO,21K,Olympikus,48.05
10710,?,FEMININO,21K,Adidas,12.45
9610,?,FEMININO,21K,Adidas,21.12
15854,?,FEMININO,21K,Adidas,4.96
13425,?,FEMININO,21K,Nike,17.68
16471,?,FEMININO,21K,Olympikus,1.90
12816,?,FEMININO,21K,Olympikus,3.98
16746,?,FEMININO,21K,Adidas,18.08
13952,?,FEMININO,21K,Asics,7.30
8919,?,FEMININO,21K,Nike,4.79
14569,?,FEMININO,21K,Nike,0.99
17750,?,FEMININO,21K,Olympikus,6.29
11520,?,FEMININO,21K,Adidas,1.42
11447,?,FEMININO,21K,Olympikus,7.40
9613,?,FEMININO,21K,Adidas,55.17
12437,?,FEMININO,21K,Adidas,12.67
11309,?,FEMININO,21K,Nike,7.82
8546,?,FEMININO,21K,Adidas,1.41
14973,?,FEMININO,21K,Adidas,7.98
9443,?,FEMININO,21K,Olympikus,1.10
9239,?,FEMININO,21K,Adidas,15.79
16475,?,FEMININO,21K,Asics,2.71
11803,?,FEMININO,21K,Adidas,5.80
15393,?,FEMININO,21K,Adidas,5.92
9033,?,FEMININO,21K,Olympikus,11.78
13130,?,FEMININO,21K,Adidas,27.07
13502,?,FEMININO,21K,Asics,5.92
13070,?,FEMININO,21K,Adidas,2.63
10946,?,FEMININO,21K,Asics,2.97
17323,?,FEMININO,21K,Olympikus,1.00
13610,?,FEMININO,21K,Olympikus,14.52
16736,?,FEMININO,21K,Nike,10.23
14812,?,FEMININO,21K,Olympikus,24.50
17104,?,FEMININO,21K,Nike,7.72
12302,?,FEMININO,21K,Fila,0.95
10222,?,FEMININO,21K,Olympikus,31.47
9598,?,FEMININO,21K,Adidas,3.94
15683,?,FEMININO,21K,Adidas,0.97
9820,?,FEMININO,21K,Adidas,4.50
12735,?,FEMININO,21K,Olympikus,5.28
8115,?,FEMININO,21K,Adidas,0.97
17869,?,FEMININO,21K,Nike,2.92
11375,?,FEMININO,21K,Asics,1.29
15224,?,FEMININO,21K,Adidas,6.11
9906,?,FEMININO,21K,On Running,3.95
16412,?,FEMININO,21K,Adidas,16.97
9932,?,FEMININO,21K,Olympikus,10.98
9644,?,FEMININO,21K,Adidas,12.35
9176,?,FEMININO,21K,Olympikus,3.00
10345,?,FEMININO,21K,Olympikus,1.39
8259,?,FEMININO,21K,Nike,2.37
11963,?,FEMININO,21K,Adidas,5.54
10099,?,FEMININO,21K,New Balance,1.62
9293,?,FEMININO,21K,Nike,21.15
8876,?,FEMININO,21K,Olympikus,7.90
13441,?,FEMININO,21K,Olympikus,9.66
14109,?,FEMININO,21K,Adidas,30.53
15813,?,FEMININO,21K,Nike,11.18
12876,?,FEMININO,21K,Olympikus,14.96
8731,?,FEMININO,21K,Nike,8.33
12032,?,FEMININO,21K,Asics,3.32
15230,?,FEMININO,21K,Mizuno,1.75
12715,?,FEMININO,21K,Olympikus,12.25
10091,?,FEMININO,21K,Olympikus,16.57
17100,?,FEMININO,21K,Asics,24.78
9470,?,FEMININO,21K,Olympikus,8.97
9797,?,FEMININO,21K,Olympikus,4.88
15829,?,FEMININO,21K,Olympikus,3.55
13871,?,FEMININO,21K,Adidas,3.61
9062,?,FEMININO,21K,Adidas,4.95
13857,?,FEMININO,21K,Nike,51.52
17551,?,FEMININO,21K,Olympikus,1.78
12365,?,FEMININO,21K,Adidas,3.33
17537,?,FEMININO,21K,Mizuno,10.23
16718,?,FEMININO,21K,Adidas,3.99
14247,?,FEMININO,21K,Nike,0.98
8975,?,FEMININO,21K,Adidas,5.16
8976,?,FEMININO,21K,Nike,13.05
14067,?,FEMININO,21K,Nike,1.59
8354,?,FEMININO,21K,Adidas,24.93
10532,?,FEMININO,21K,Adidas,3.99
8619,?,FEMININO,21K,Nike,1.36
12276,?,FEMININO,21K,Olympikus,20.68
9976,?,FEMININO,21K,Nike,3.08
9926,?,FEMININO,21K,Nike,22.04
12589,?,FEMININO,21K,Nike,4.31
9819,?,FEMININO,21K,Fila,3.99
9978,?,FEMININO,21K,Adidas,1.90
8785,?,FEMININO,21K,Olympikus,19.51
17444,?,FEMININO,21K,Asics,1.00
17682,?,FEMININO,21K,Adidas,14.47
16932,?,FEMININO,21K,Fila,8.22
11674,?,FEMININO,21K,Asics,1.00
12218,?,FEMININO,21K,Nike,8.19
15288,?,FEMININO,21K,Adidas,15.39
10403,?,FEMININO,21K,Adidas,10.43
9429,?,FEMININO,21K,Nike,2.98
9252,?,FEMININO,21K,Olympikus,2.94
13710,?,FEMININO,21K,Olympikus,3.43
12897,?,FEMININO,21K,Fila,5.36
8191,?,FEMININO,21K,Fila,1.16
9405,?,FEMININO,21K,Olympikus,8.40
17208,?,FEMININO,21K,Olympikus,5.81
8946,?,FEMININO,21K,Nike,1.28
11762,?,FEMININO,21K,Olympikus,11.38
10071,?,FEMININO,21K,Adidas,6.95
13153,?,FEMININO,21K,Adidas,14.70
12498,?,FEMININO,21K,On Running,5.06
10178,?,FEMININO,21K,Adidas,9.83
8609,?,FEMININO,21K,Olympikus,3.37
12526,?,FEMININO,21K,Adidas,7.92
11795,?,FEMININO,21K,Nike,8.68
16275,?,FEMININO,21K,Olympikus,3.70
13072,?,FEMININO,21K,Asics,1.91
10722,?,FEMININO,21K,Adidas,2.37
15040,?,FEMININO,21K,On Running,4.85
14677,?,FEMININO,21K,Nike,1.00
14178,?,FEMININO,21K,Adidas,2.94
9440,?,FEMININO,21K,Adidas,2.97
12194,?,FEMININO,21K,Olympikus,1.00
10288,?,FEMININO,21K,Asics,1.98
16445,?,FEMININO,21K,Olympikus,1.54
8238,?,FEMININO,21K,Nike,3.67
13621,?,FEMININO,21K,Adidas,25.04
13660,?,FEMININO,21K,Olympikus,1.00
13378,?,FEMININO,21K,Olympikus,10.97
17652,?,FEMININO,21K,Adidas,5.48
8690,?,FEMININO,21K,Adidas,4.41
16485,?,FEMININO,21K,Olympikus,1.65
11341,?,FEMININO,21K,Nike,2.70
13714,?,FEMININO,21K,Adidas,1.98
15120,?,FEMININO,21K,Fila,5.21
10062,?,FEMININO,21K,Adidas,10.50
11457,?,FEMININO,21K,Adidas,10.35
10186,?,FEMININO,21K,Adidas,0.97
10640,?,FEMININO,21K,Fila,6.13
9162,?,FEMININO,21K,Asics,4.46
9611,?,FEMININO,21K,Adidas,40.41
10059,?,FEMININO,21K,Nike,5.68
15667,?,FEMININO,21K,Nike,0.98
15406,?,FEMININO,21K,Olympikus,6.25
9941,?,FEMININO,21K,Nike,3.61
11445,?,FEMININO,21K,New Balance,1.00
11730,?,FEMININO,21K,Olympikus,2.00
9968,?,FEMININO,21K,Olympikus,1.00
9917,?,FEMININO,21K,Nike,18.95
13003,?,FEMININO,21K,Adidas,7.88
13043,?,FEMININO,21K,Olympikus,6.80
10114,?,FEMININO,21K,Nike,8.74
10264,?,FEMININO,21K,Olympikus,3.77
13131,?,FEMININO,21K,Asics,7.74
12057,?,FEMININO,21K,Fila,1.00
11920,?,FEMININO,21K,Fila,6.53
13358,?,FEMININO,21K,Nike,20.22
13608,?,FEMININO,21K,Olympikus,6.57
12339,?,FEMININO,21K,Adidas,3.36
11986,?,FEMININO,21K,Nike,4.48
10225,?,FEMININO,21K,Asics,2.43
15863,?,FEMININO,21K,On Running,2.00
13029,?,FEMININO,21K,Fila,1.00
8186,?,FEMININO,21K,Adidas,1.63
9312,?,FEMININO,21K,Nike,0.95
9669,?,FEMININO,21K,New Balance,3.36
10065,?,FEMININO,21K,Olympikus,16.96
15857,?,FEMININO,21K,Olympikus,3.36
14594,?,FEMININO,21K,Nike,6.66
10521,?,FEMININO,21K,Olympikus,1.35
17455,?,FEMININO,21K,Adidas,6.96
14823,?,FEMININO,21K,Nike,3.92
9672,?,FEMININO,21K,Nike,1.84
14988,?,FEMININO,21K,Adidas,8.63
8530,?,FEMININO,21K,Adidas,2.41
16749,?,FEMININO,21K,Asics,6.80
12039,?,FEMININO,21K,Nike,1.41
15448,?,FEMININO,21K,Adidas,9.89
16993,?,FEMININO,21K,Adidas,5.02
8544,?,FEMININO,21K,Nike,5.78
12020,?,FEMININO,21K,Olympikus,4.89
8444,?,FEMININO,21K,Olympikus,2.71
17374,?,FEMININO,21K,Olympikus,5.47
14267,?,FEMININO,21K,Adidas,5.92
11570,?,FEMININO,21K,Nike,0.98
9524,?,FEMININO,21K,Nike,2.63
10465,?,FEMININO,21K,Adidas,2.51
14669,?,FEMININO,21K,Olympikus,5.78
15022,?,FEMININO,21K,Nike,1.45
17447,?,FEMININO,21K,Adidas,2.28
14611,?,FEMININO,21K,On Running,2.03
14250,?,FEMININO,21K,Adidas,2.29
9366,?,FEMININO,21K,Adidas,4.03
10429,?,FEMININO,21K,Asics,3.80
17227,?,FEMININO,21K,Nike,11.57
10408,?,FEMININO,21K,Asics,1.35
11634,?,FEMININO,21K,Olympikus,10.60
13498,?,FEMININO,21K,Nike,22.00
9151,?,FEMININO,21K,Adidas,4.55
12999,?,FEMININO,21K,Asics,2.97
12743,?,FEMININO,21K,Adidas,1.89
17293,?,FEMININO,21K,Nike,1.59
14668,?,FEMININO,21K,Fila,1.89
16015,?,FEMININO,21K,Olympikus,1.98
15429,?,FEMININO,21K,Olympikus,0.99
9351,?,FEMININO,21K,Olympikus,2.00
12434,?,FEMININO,21K,Nike,2.17
10284,?,FEMININO,21K,Nike,3.66
14370,?,FEMININO,21K,Olympikus,11.54
16196,?,FEMININO,21K,Olympikus,5.52
10025,?,FEMININO,21K,Asics,4.52
8684,?,FEMININO,21K,Adidas,1.00
10233,?,FEMININO,21K,Olympikus,2.94
12865,?,FEMININO,21K,Asics,1.00
14027,?,FEMININO,21K,Olympikus,14.18
10266,?,FEMININO,21K,Olympikus,20.74
10817,?,FEMININO,21K,Olympikus,17.90
15304,?,FEMININO,21K,Olympikus,1.99
